"nr","product","person","reviewDate","title","text","rating1","rating2","rating3","rating4"
"10002","31809","503","2007-08-02 00:00:00","blamableness trochaic competitors terminally underdrawers earths recommits drest","corrugator jacker throughway preaccepting subordinated antibody allays reaps vented freethinker polemics shipped remodify gutlike underfeeds marsupialize dramatization gymkhana overages indefeasible fleabag defined harmonically sculpted cuspidors caecum xii tympani mammee fluoroscopies unwind yamun representatives skylarkers rechristening incubator pinballs supinator actresses antiinstitutionalists announced adumbrated enhaloes caned outpaced bullying ahchoo venerability restatement overviews readouts dandyism alaskan objects aztecs scoring burring transmittible oenomel syllabifies disqualified interdictor created retarded galipot smeared subbranches wizardly agonal veiner mimers semimature welshman avoidances raffler engineries flacks chores theorization excitement jeopardizing tastiness aberrational cording equates gullied moi constabularies diehards eases wintrily fossilizes pagandom collectively griddlecake basils briquette tidier windless reseated ventriloquism slams hashishes cartway commercialists dispatcher dairymaids elegies crawliest joist fistulas barometrically pastorales hosiers pounced mendicancy fours crankiness plinker faxing cheesiness muzhiks corroboratively tuneups maniples nosh advertently federatively unaccredited solecisms squashed liquidations widest blowers tonneaus impartibly chauvinist malarkey reluctantly typewrote snafued abrogated cheesecloths norwegians","2","9","6","9"
"100020","24117","5104","2008-05-24 00:00:00","unappreciative friendship pelf pointillists bitsy presbyters yaks transplantations pudgily inseminated mailwoman zigzagged pursuance logrolled","abjuratory alloying hamstrung staphylococcic situating combustively forgings dossiers drops compatibility digressively strawier investigational waggoner bitts pedometer gleefulness lovelessly planetoids insteps dashed bricks gummiest haddocks timing gradation dentines envois taxis cognizance pediatrics gratings monsoonal helpfully dosimetric lousier unpolitic enfetter cavernously thickening oscars subcontract sojournment circling confabbed blackamoor typeable blackguard toucher programme bitched putrid defenselessness scorer opining valerian vacuums understate sheering accouters taiwanese cithers hegiras chronologists repro topmast estopping onanism lignifying minxish bushman imparters eyeliners chlorin chandlery squatly inheritable figs scariest shandies sluggardly tyrannis infeoffed motorboats mewl barbered bedazzled scrappiest featherbrained sundering tester",Null,"4","6","3"
"100021","22866","5104","2007-06-26 00:00:00","unfitting eonian crucifying maintops seduced moltenly imbuing","idlers hasidic assures upshifts sporule seeds flowerer kielbasa talker sweetening rasper galloots generalizations uncertainly undergone clashes ferments pitifuller raggedly wringers touchup teether unsanitary alexandrian notepads circumambulations microdissection saddest damocles philippines anthemed chests nobler bushier monofilament puritanically atheistically rethreads slobbers demagog pelting commencements rotes cutup undeveloped latches demotions gracile overfull rejuvenation reverenced oblongs",Null,"6","2","1"
"100022","15723","5104","2008-01-24 00:00:00","interrupted capitalization titivating dissuades scrutinizer peppering lecturing","mala mummifies halfbeaks gunship littered binal barbarization blowpipes breathable nigerian discredited yammerers cosmetics salinizing killings mirthfulness soughing vileness giddiest civically holographs bushelers retardates godsends cembali discreditable misogamy cuckooed bodies crossovers prejudiced ringneck swinger sharpeners diffusing radians sheenful flatfoot sociopathy produces pranked electrochemical explores presupposes perfumes chested uncapping backlogged nickers payably thrummier memorializing allocation sneering possibility iterating discontentedness knapweeds sunward gouramis sheered amerind hallooed ennoble premeditatedness cruncher doubled mesmerizing rainwater loathed cattails overroasts","4","10","5","10"
"100023","29916","5104","2007-08-30 00:00:00","ciphered magnesias unitized impinges chrysalises donators twinned bankrupts sipping excerpting nontemporally headwords treacles lards","bereaving boasted weenier upholstering afterdischarge gallamine fishskin manned isolators spelunks kendo posher greeds fishbowl impeders spluttering hematological manitous tumblers ameliorating unended peneplain pense unlaying mongol sizings rosets unhackneyed decentralized similes villi oleoresin williwaws danged despairingly tackles powwows sumos brilliancy absurder binoculars stinginess jeopardied fugues counteraction vermuth grays stauncher berates unbelief voluminousness seducer autoimmunize dictatorially flanking refutes statal","2","2","10","2"
"100024","20994","5104","2008-06-14 00:00:00","volleyers incontestably liquidates displacing masculines representatives sleekest radicands feminized arriving cribbages vacuums","larcenable whoopers marshier enumerating fallibleness deathful oohs parochialism reeler galateas rouster nucleators resists zitherists cindering beetled banqueted trifling cathexes contingence hiking maidhood eternizing indemnificatory carolinas centralistic febrifuge oratorios renovators ophthalmologists bullhorns genealogically nabobism expellee otolaryngology visually plaguers longhaired chastiser safeguarded prepayment abysms bathtubs elevated shivs kangaroos togae subcategories cigarillo digestibility weakness aglets fps generational swaybacks masterpieces asperses glaciologist shadowless spatting thrower doublers harping numerary dunderpate odour petrochemistry unlimitedness cockers petunias sanka hectically dei garbanzos fibrinous rebuking successional redirection","7","7","8","2"
"100025","40778","5104","2007-07-20 00:00:00","prostrating astrologer nonassertive overbear carriageway incontinencies winkers leading capitulator amazedly stylebook","pedicurist armoires misconstrue georgian furnaced recopied macks avianize remittors mambas declinatory springer capers margents cerebrally battleships administered scribers slimmer xylose hardhats vapidly truisms subjoin outboards graveless lister perambulations knackers unwieldier grays showered multiplicities lubricating tiro antisepsis hapless minorca encapsulation thematically repinned borates exotisms eugenist pickles irrepatriable impersonating signatary accts ulcerating boardman carpetbags abridged raisins deceived disarticulated physics kudu socialization mismarriages brassier helved gipsied firedamps diverting fronter cappings embrocations scrimmaged oohing sciatics sundries barrooms campcraft unsound shipment hairlike ferrotypes ichors plumper hoboing broadlooms juntas mafiosi footless chards upwardly saturations troublemaker gimcrack parasiticidal chieftaincy heating fatefully stockinet retrogressively palanquins krises heatedly defecation vitrifies shapeliness pastorales lymphs snores vestless ratlines erratically resistivity moviedom fiftieths reinforming reequipping livlihood hairs haircloth transposes blips bilateralistic shorteners eulogizers enthronement","4","7","1",Null
"100026","39045","5104","2007-09-19 00:00:00","sponsorship assignor bloodthirstiness tomcats endangerments shadings","securely shamuses meaningfully monstrousness nethermost hokypoky archivist impersonalized harrier batistes sooners unforced adulators tassels macedonian bouzoukia pudginess modernness demiurge rangers stunners whappers armourers greasiness suchlike truest chalcedonic verite underplay trefoils lira upsetters savagisms ensure goofball reline coaling sibilating renowned patronizing unstop academically promoter catchalls analytical theobromine shlock miscue chasmic ruggeder tincting chimneys graces dissolutive devours microgramme microphone reconsigns chairladies saloons fiberize gaps elates carves asyndeta splayfoot soullessness joyed friezes permeating doglegging narthex maximizing tuneably bootees warranting pneumaticity heeltap aggress equalities tups morphological evangelists yids amandine automats umbras spastics resew semimystical ricketier hobbling mosquitoes mashie flawing peavey lowermost nonliving sapiency haematin oppressiveness imagist fewnesses gauziest nonempirically representations landholding attenuations epitomizing bedsteads methodizing calfskins probating bifurcations unclear durables muzziest highjacks unitizing copper overindustrialized enslavement antifascism interviewees","7",Null,"9",Null
"100027","23537","5104","2008-04-10 00:00:00","phantasmagorical jesuitic boldfaced kakemono ribbers sullies sleets hugged bipartition lasagna rotating subtilest carbo flameouts horrifying","spontaneousness pommelled nitwits irised notable mizzenmast wraiths withering sunstruck leveed voyeuristic uprooting memorizing ranted watchmaker coherency airbills chinkiest opacities unconsummated vizir eviler rebuttoning spying peonism pruriently rewash chitling rowed shits vastier rescript fuelling merrymaker wintling kantians centrifugally trellised griddling gallstones grinner endocrinologist prattler drayman complies hedges alpinism mansions clerihews garroting moi swingeing decorousness raisable caging sightless identifier meliorates repass monkery gestations baldrics rehashing barricaders sandlotter interjection gutter hallows yachting wastefully effecter checking poisers tonicity commutator sterilized withdrawer pylon cubisms gayest sandburrs sherberts legendry dishtowel invocator romancer backless weddings herpetic oysteries spacings cuddies proverbing funker quantal versifier retold hominy",Null,Null,Null,Null
"100028","25859","5104","2008-01-11 00:00:00","stupefying afterimpression defroster sunless denaturant accurately malpracticed misguidedly coolest","recombing arced bleakly cooee hydrogens desisted paddings gemology unplowed morals unruliness eatable agist fictionalized predacity monthlies footer doxies intercommunicates drearies vizier codefendants wits gripping yolkier reuse crosstie abidance defoliation untrustworthy disarmingly scandinavian convectional zombiisms defecates bombardiers intermuscular preventively blotter radiogenic unpreserved abortion haoles sovietized mollifies hastily saved dinghies tackified seigneurage gruellers unconsumed bugs rewaxing lamplighter commutatively semidesert fishhook licked unexploited intestacy assyrian ref clinkers fewest maoists extinctions confiner prisoners quieting actives dragrope tensest inconvenience tailbone dognaps brazer bodkin selenites relapsed maneuverability disguisements besides obovate damascenes honorands thinners melding rodeos mandolinists laked saddens spacewalk reuseableness jailhouse overrefined nonparticipation cacheting forerunners spoilsports tempestuousness ataxia savvying grungy parcelled wrastled bosoming hierarchism incumbency linguini injurers calli entanglement blotching subbass dehydrated desirably countervails mystifying deputized vising accentuated brimless boxing deliriant chunkily bewailing desertion phobia vodka plums widowing handlists disapproving reassessments crepes genuflecting subclerks meagerness sheathes campiest carboras busybodies piazadora denazify interrupting foreword","5",Null,Null,Null
"100029","17616","5104","2008-06-10 00:00:00","rectangularly irrupts gooder cartway tetanizes alliteratively races comprised dissected battledore prointervention tauruses perfected","upholsterers negus feigner primarily correctly billheads stylist jailbird gelid subcommissions assistance bossisms lexicographical roscoes woodcutter bowwow spoofed imperialism indemnified misdeeds schoolers percolation romanticized disposed iodinating misalphabetizing variform borborygmies ballisticians ickiest tiddlywinks tintypes overbid bursts charges baseness defecation engramme animals shunpiked reabandoned grouped lurchers smokes quizzically shalier redigestion dadoes humanitarianism compellers fractured ensures pelted fricassees freedoms reoriented budlike relater uninteresting overlords vibes bladders faultily remissions yammered pesticidal plasterboard roadways facilities covenantee honks tranced correlation rusted dispending relent rappels paroxysm refinish restrengthen rankles gaggled feints recompensatory savory flinder tidytips pouffes scapes visard unrevenged tightfisted aluminum firing squeaking besmirches cymbals citizenly trolleying slanged tenantship nonactive brighteners smashingly disavow implausibly vulgarization conforms dudgeon stomped pawnbroking heretics zealously muskits throughways reamers meetly pressrooms nepotists saltpetre gratuities incises hadjis cosmist unbuttons reinstallations sociably insulation regenerated minuscules unburdens cufflinks ululated pouchy preenlistment rigidness plashy patters unprepared moles verily southron tableaus imperialistic spawner demolisher jesuitry bibliographic rousted caved ladders knottiness liquefier campaigning","1",Null,Null,Null
"10003","9727","503","2007-11-12 00:00:00","dugs autodidacts accruals remittee queries misact precautions tigroid blarneys surtaxing","pendently pinsetter knockoff shadowboxes meshworks pfennigs nuggety indorsee iliads unpressed beeping functionally filberts crisscrossing quietly rutherfordium excitant flitter vasectomize gelled monosaccharide concuss certainties gatefolds tranquiler sideswiping jobber protracted nonathletic pampean valvules pinging desiccation prosthetics unheralded solicitress honestness plurally wheaten hostages hawked bisection pumicers cords irreducibilities dryades menstruating slagging withholders subclassified underscore hairlocks amaranthine washcloths flagrante emulsifiable fluked peptic burgundies headpins relique remeets subduing gatepost gradualism wedgie twiddlers hydrophones abolitionism exposits tiring englishwomen stereoisomerism thatching librates specter counterattacked closeness buggier cussing warthogs ephedrins solutions sofar abides sui monodic ideologies reenforced steers cosiness heritabilities casings pipier snared thatched etym",Null,"4",Null,"2"
"100030","37093","5104","2008-05-03 00:00:00","determines maddening cleanses underpart miseducates despairingly rebroadened laces unchained fait phonics scolds machinated briefed","overextended profuseness enrobers reclassify reincorporate demarcations sods athenaeums smirks cabalas familiarizing sonneted amounting clews moments nepotists wrinkled clinkers sucklers intermingled civilities dinkiest internee brainlessly crimsons onefold thymes sidehill fugging jiffies preserved articulator tentless generously feverishness discharged idolatrous telephotographed dilatoriness uncourageous flavorfully malpractitioner populaces bluffest worried declinature adorably helpings ignominiously honkey excellency ratiocinators valorously trimonthly reverberates dextro jodhpurs shocks parsable unsweetened hematomas oddnesses petulancy vindicates asystematic segregative miotic womanized assumable rediscover cuprites tars propers moralisms chemotropism reignite seaworthy flagellators disheartening reemploying bobsledder photosynthesizes romancer impassioned gallic cryogeny tetrarchs gingersnaps microanalytical reflexologies executorial tubers misdoers impaneling focalizes subsequential prana hellos nacres trifolium mimeographing undetached gravamina openheartedly presifted commination esse deprivations colleen bonding mouthparts frolicked spadeful artefact alopecias gentler orris introverted tablesful cotter forenamed outbargains kinship cretinism frontlets geophysicists revindicate furores sandhog tufaceous handloom cleanlier motorcyclists counters dotage knelling titillation gerrymander remilitarized inquisitively decanters alterable prefects whiffler dollied cajolery forker nonadmission laundresses immunized preventible eyehooks rockiness implored unexcavated eructate antlered plunderer australians backcross spectrometry pinkly peritoneally cuddies exculpating prs calycle reproachingly fraternities blacktop sunbird necessitously folia grindingly corroborates roughs respelled greenishness ammine polychromatic vouchsafes ocelots suffocating mandolin creepiness evenest medicos remittee isometry unpityingly antis officers alkalic","3","7","7","4"
"100031","31770","5104","2007-10-26 00:00:00","etherizing fabricated provocativeness extinguished","questors underpays modulating heralds oilstone bioactivity validness taxably photoreceptor franchiser functionality freeloaders coquetries arizonan interchanges crematoria curiae sociologic scuttling opacifies sickling learnable celiac perpetuation patientest scandalize ghostliest raddling cryogeny spleeniest coded healths savour outsell pied smugglers frolicked pitchier declarable regimentally inventing uncancelled monocles swash baptismally oxbloods tellies ablatival frugs pinatas oafish nonzero buying existentialism prepossessing duodenal disburden trickles growling austerest eggnog compounder tipi dotard",Null,Null,"4","3"
"100032","24014","5105","2007-08-31 00:00:00","accusals undeniable peritonital batrachian","junkman orchards preparatorily slushed abductors heinie overbearing discerning underlier staggering jabs subofficers kinkier underseas depends travesties skyman flecking caroms bankrolls lading accreted spoofs pertinacity piquancies bettering molecularly melancholia insurgences quadrate drawdown keened blah palter piranhas gravitation convalescing hefters eponyms ceased elegized woolmen princely graybeards spicules spongiest confronting vitalising gulfing grained stereoscopes fearless demonstrandum arioso jennies priedieus sottishly phenotypically",Null,Null,"8","9"
"100033","21328","5105","2007-09-28 00:00:00","imagines adoptions ic sensated valuers filibusters quarterly earthliest weirdie","steins dominance cordwood shrimper recaning bikes utterly silvester jawline tubercled tingliest flippantly huffily containing checkers preboils furiously astonished cups flirtiest counteractively superciliousness diverted carina unshelled dei backfires retypes fuchsias catamarans unlanded counterclaimed pone factiously urinate smokily lollers listeners crews alpinist muleteer sherpa wallowers understaffed switchboards knobbiness unsurmountable greyest lapful clienteles stridency repartees expediter quietly linking criminals postcardinal licencees tessellations pocketknives polymerizes tailer fabrics finishers surnamed rebaptized alternatively pelletize hallucinating lamia",Null,"10",Null,Null
"100034","30621","5105","2008-04-05 00:00:00","quadrat tuns dizzily glamorize ensorcel knottiest macula dogberries despondency hangared gelidity adjure forgoers octaval","reforested fecundating macrostructural introducers hygieists fisting sidles fraughts begrime wristy hoodwink imprudently speakable redry digger intransigently heartland steers loofah figments monkeyshine globose anvils radiotelemetries slipslop proofreads tumbled wingovers homesite reaganomics mossiest unobtrusively aphotic misrepresents lidar danseuse dreggier finks sargassos faying labourer squatters elapsing supplement contraindications matchless leadoffs ethnics snapper philosophers goggly ryes tornadoes pharisees batts desiccate towropes zymurgy premiss baccarats broguery girly dialing unweakened romancers pastorales rhumba bugseeds stainers tangling laryngotracheal midair whapping extraneously osmic","3",Null,Null,"5"
"100035","13150","5105","2008-04-18 00:00:00","fleecing guardant wethers obliquity jeering predesignates ascot argots plowable hanger unreel oho mocking","depreciating quoined stalagmites congeed detrained knaps deathwatches trapshooting casavas endbrains carrots hagglers restamp darksome scooter miseducation trueness chirper relabel lightening sawhorse loneliness deviants battings autographs parallelograms pikes wiling edgers fondness chicles unbound livres tripping badgered rubbernecking overdefensive paperboy insistently acknowledged blesseder crazed anathematizes thundershowers ironworks kibosh maillots countermeasure arrowroots obstructive popinjays discontinuities soothly flippancy drifter sprightliest hiccoughed dampish necessitates","4","10",Null,Null
"100036","27403","5105","2007-06-27 00:00:00","quieters understatements pangs uvulars beneficiate bimah polygamies scummiest","hemorrhaging polenta breakers geste robustly economize underbidders cricking mimeographing grouses playgrounds partaker firesides catacomb imbibition flooding isomorphs depreciative nuts uncleared farriers archivists sonneted practitioners prevailing inducted embargoed hydrators aphorists roadsteads vandyke bushed unpractical guardants rebury sintered fascinated pupilar folkmoots lepidoptera cosmisms miniaturists bytes expositing datsuns penitently parquetry artistically riser galvanizer brunches clatterer weavers inbreeds reprovers tarsier mayvin apologizer triform hums uruguayans trucklers novels townspeople cabstand liveable outgrew rhapsodize ironed decriminalization hayrick brazed enticement leftists editing willfulness proletarians photocomposes skimmed atomical primas enc fondlers unfaithfulness appellations tutelaries polygamy obviation spicules cassavas broachers glasses involuted unpardonably unpromisingly returnee statistically tunnels lemonish undertaken landholders powerboats snaillike tenantable mineralize infectiously eardrops compasses understanding limburger tinctured rayed recidivists everted suites interrogational supinates penlite reallocating sensually puttee hemisection malconstruction xviii cowfish punctiliously twitcher aspersing ethnoses reconciliations crayfishes dealerships passerine judgmatic marihuana synesthesia reweaves blitzed frowardness irrepatriable jigaboo clenches kickstand fullface speculatively sendoffs ammoniacs legitimizations","9","2",Null,Null
"100037","29200","5105","2007-09-11 00:00:00","xenobiologies containment forgoers noncompulsory floppies weeded conspires lapidists hardens orates glassier freeload presifted prepackages adhesional","babbling anorectic vines ambergris universalization adumbrating scabs conservatively dechlorination conjuration locoed nonidentity redigests bottoming comparably dealership flocculus oilcan litterers sundaes bowingly tuberoses tiro concatenates meta valorizations yowlers risker nonmythically pearled frolicked viscidity pureness picaros ethicals reincarnate individuated joviality enduing angerly refutatory infirmable incurable abacuses teachings referees indissolubly humaneness rancher durableness roughening veluring conundrums plebes blastier neighbors spideriest plutons ejaculation recommissions elegists transporting overflies homages skewness similarly gobbets increments capitation filcher countability parathyroidal jokesters unphotographic exscinding overacting eddied unbecomingly minter payola hogties packaging etagere heathier healths humdingers inflections ringworm readdress abrogated reopened reburial compliers skyrockets congeries housecleaned locusts trellising endamaged gimlet abhorrer misproportion prepackage potboys huddled blipped orchestrates aurally mucilaginously outmarched retinted ripplets waivers plinker fulgurate ensuring gutty flued interfaith selsyns conjunctures nigritude jeerers landladies outyells awnings dagoba geoscientists harpies albatrosses inextricability dramatizes screened pantomimist milligrams colonize attracting feminizing loggie galilei assayer unlatch couths surrealism almner polynesians ovulating tenseness paters carded debilitating figuratively underset superiors squawked saucebox mulleins elicited velleities stabs tumbling puler thermodynamically ungratefulness",Null,"8",Null,Null
"100038","20728","5105","2008-04-08 00:00:00","sciatics puncher neutralizes steads scapegoater solutions prescore razee moonier jumper cauterizes individualized wakens","sampler redesigns blowpipes inletting teletypist polishes curatorship ghettoizing candelabrum virginity disprovable untried soave leggier wended doggones jesuitries eases lacers flirtatiously troths fagot vicegerents consecutiveness competing ungallantly dados adiposis lamentable reendows tora falconets steepening cognise whetstone shamming illegally slabbers torts larders indulgence counterfeitness sylph irritatingly elicited antifreezes virgos malathion leviathans orgeats unmingled fined summerier bewigged populations agitates postmillennial indemnification","9","8",Null,"1"
"100039","20815","5105","2007-09-27 00:00:00","taxonomists snowplowed wristwatches lamasery saccharinity wakers dandified recommissioned uninfected outboxed reeky curtailments","circulations recondensing debark rumpuses mountaintop colleagues dumfound histories munificently jellifies parasitism disarmers lusting sibylic curlews stemwares higher minnesinger provisionally battlers collation desensitizes pontius flourished hegira prescriber mowing departing engrosses typicalness backdrops vapoured stewed stardoms untraced nulls campstools reproachfulness endpoints trudges megohms grillages siree familiars peremptoriness inshrines jailor riveting vitaminized targeting tenuto breakages cactuses sublimity wisped parka oubliettes darner divided peeking weigher reentered empathies dechlorinate tenderer gravitated milliseconds trepan alack archaeologist richening eyeless riggers apter conchs performances husks approachable birdhouse delimits bonitos vendees unbind illumined impassioning bathed nurtured pesterer illegality defoliants terraced exploding roues piquet atmospheres excusers maddest weenier reinterpretation duteously figuration newmown goys roughers streams prejudges engineless ss commendations undisposed allocated grumpily dispirits househusbands reline shrubbiest buckbeans diametrical returner materialities quaffers dwarfish footrests nephrectomy jaggedly ganglionic gripier wickedly poult superiority",Null,"9","2",Null
"10004","21610","503","2008-02-27 00:00:00","thermochemistry moonrises nutted chichis leafstalks preschool seined freeness","provoking antilles eely nearer foundational shooed ridership reassertion failings ricrac kentuckian discreetly linseeds tenures underbelly horsecar verdancies ungulate alleviatory kitchens redistricts remailing sapiently gruffed halloa ghees blasphemed hordes coaxers mothproof bankbook kendos surprised interbank heiring sputa pettifogger worriment misbilling demolishing cryotrons lapin ofter mammae premiered lighters pachyderms sundews ranees multivalence impetuosity acetanilide principalities ramblers tempered macrocephalic creasers curded parenthetically visions biff tangibly twiners anticline becked humming paunchiest bufotoxin spacemen quirkiest repeatable battlers reenclose convertors betweenbrain prewashing dissects glop vellums examiners budgers erupts monetarily sipped yuks indorsee que ween therapeutical tokay mouthy endearments gaggling purloiner trimmers unwomanly lollops caesural chiropodist underfeeding roomiest localite aggressors heifer gats olfactometer","4","1",Null,"8"
"100040","29618","5105","2007-11-09 00:00:00","pennon environments yuccas represent somnambulate traditionalistic golem","reiterate entered offence meanspirited polemizes gracefulness radiotelegraphy scattiest authoritatively dossiers largo bistro pups epiphenomenon poult ossuaries collators listers jotting bednighted elongated pepperer avoiders intactness decriminalize fourpenny centralist ovaries wheelie snorers floorshift renomination antagonizes castled panders sized celebre hygieists overstating reiterated cants rhymed curiously tubercle overdraws jingo ashcans intensifies negatives fares lappering viscidly redistilled elflocks enhaloing strapless metropolitanized harrier fading deselected exudations hygieists shortfalls rattlebrained animalism complementariness genuinely outshined keeps palpated barely dashier unrehearsed coaling kenyans collided fermenting skipping rusticated louped approbative snuffers rigorist sateens voids didoes scuffed vitally bacteriologist bigging rethread furrowy bolded knickknack osteologies preluded qualifiedly retranslate devolved heroinism trichloromethane heavier forgivable obligation maiming assessment goodnight captainship prepossessions sifter notochordal elicitors delectation elfishness couldst lenities fostered expeditor fungosity redeemer wantonly domineered outnumbered neatness adorably frumpy personable tallymen polled matzohs peevishness miscegenational garaging preached forcedly scurvily discontentment externals correctives spadices cardiographs kilobits merciless shined arrestment electroencephalographs unlashing grillage outbid bused discomposed longwise gaga nays wellholes intertwined encloses extenuated predestinates prentices counteroffensive railings calicoes roadrunner gravimeters maturates amicabilities","5","7","3","10"
"100041","11048","5105","2007-12-15 00:00:00","vestigially smearcase stacked moderatorial","teammates professing stepped concussively tweaky appropriateness pasturers paramedics inviolated diversifying previously autre beneficially cohoshes starrier colossians footslog reviver unappetizingly gumlike plurality videotaped etiolating inflows readjourning vagrancy stings electrogram dolts shackled permissibly vole southwester epilog echoism tidelands dingey reciprocally sovietized apocynthion expansively effectuality hooker displanted blamed zillionth recliners crystallographic manning glyceraldehyde stimulation unobserved fickleness pictographic insolently disadvantageously haphazardly surveiled haranguers prerequisites gillied groundage engrailed creosoted cellaring rummies neighbored dojo nonproduction gruesomest forecasts quixotries portability allotropism spaceship stamps ancientness tidily spued quarto citification preserving unfeared mudcapping woodsman bevellers sleekens massy scarcer blarney subunit storeyed floorages mezquite argufying pungently lapland radiotelephony",Null,"2","5","1"
"100042","9041","5105","2007-11-15 00:00:00","dictations footloose shoveler corroboratively calix brushier contrapuntal pitchy dudgeon hypersonic embar avenging handler nonpoetic","isobars minimums phoenician wrackful macroeconomics peristaltically antitank loudliest tunnelers farfels plisse assignable stopcocks engaging creped interpolar snooking liger heelless flintlocks weevil directness cedulas accretions cadger macroeconomic funky reddishness purporting sieur cytologic recuperating pense unshackled mezuza potholder stockholding wagons toyish underproducing hominem squishier ontogenetically refocussing ogled sadisms peculiarities disbarments restrings unhurt boasted lackeyed radiochemist cinematographers snowdrop debased moorings resurgence maguey spotters notated sponsoring ducktail unflinching landlordly docker dogeared traverses apartmental hermitic stonewalled solariums lambent girths guaranis localite manfulness splines scabby logotypies charitableness encyclopedia beckoners overshots kaftan reassure encrustation unapparent boggling talkatively conceals softballs prefixal hitless coyotes victualers unlovable inequities tonsillectomy adored revitalized infinites fishiest soups numbering adverseness bluey muscats seismographs nevoid backwardly countermeasure affiances mailwomen subverter titre whinnier nonallergenic wingspread blithers withed escaroles vocalism quailed inadequacies centesimal snorers dissever takeable balsams cc pinstripes nonagricultural terminative petiolate paperers earthliest shielders unquote irascible awaiters fiestas psychodynamic carfares sleeking renominates monosexualities electrolyzed furnishing",Null,"8","9",Null
"100043","25677","5105","2007-08-07 00:00:00","publications fertileness swerved unscrambled palfreys","stylar nondomesticated triumvirate locoweeds skirtings keels fastnesses standardizing creditableness rehardens noninflammable injection sophistical overhauls sestine boastfully subcontractors gorgets lifeful comprehending camphorated browbeats preaching griots merited dotes medically scowed merits bastilles loony landform shogunal zunis scalers tilts subleased veeries coinciding fliest tempehs quotable testosterone battler outmaneuver disputing omissible bartending inanimateness brisling depolarizers interspersions peyotyls amalgams dos ashier sherpas bartered uxoriously backless scirocco slips chowing nonconciliatory exposits qualifies stemmed salinized deaneries fungous manifesting protests scribbles convects carbonize glyceryls cosmogony civilities pseudoartistic aerometer ravening","1","7","6","5"
"100044","9756","5105","2007-08-31 00:00:00","unpredictabilness frazzling furcates coons synovias transfigures dewfalls ambulance yarest excogitate interfactional msg clambake incommutably","obligates plainclothes chanteys specimens gauntries selenide modestest elbowed wetproof cruds flaggier moonstone deducted booted vaunting criminality piffled eyeballing manufactures lanced goosiest suppository abodes tapped abdications divulgement slipcovers dynamiting possessives cyclists praxis prospectuses calculates antibusing univalve worshiping disheartened unhitching pirana ochered tidies tutelaries mummers divining misdeed foresters vesseled isthmuses reinvestigations monstrously trailers duologues coruscative unclasps pampered indiscreetness feverishly abatises frowning renegades evangelize devotedly disused revoir triturating disencumber donkeys concentrator abnormals lessening frightens thinner dinkum hosanna clashing moisturizers hospitality grouser indistinctly lops sweeter dunghills sneezy mammae demits philatelic subschedule revisions beano memorializing solidities earplugs towelled elkhounds rebuffing calx stressed enjoys thicksets crumblings extravehicular variated tapped excavates capitalizations patricians metalaw focally outdistance acknowledges feckless pockets heroins gravimetric flatteners periling shists leprosaria helicon unwise frankensteins principally jutty computerize impeachment vacates thurifers virginity antimicrobial rescinds disproves repaints vitrification hemostats potage bumbles poloists uncleanly midriffs adversities noncombatants casked seniles inalterability sumo","4",Null,"1","2"
"100045","30055","5105","2008-05-31 00:00:00","territorialize saleswomen republica bellboys intercostal hibernation suttee furrieries gulfed backstretch veraciousness whipt natally","polder unhonored nauseants postponed intermolecular sentimentalists ricracs tardily dwellings liveable edginess closemouthed passels queered taxiways donates squawked mondo strainer accusatives droppings shirring metricated whipsawing undramatic caesarists outspells payout savorers mismanages coyer bhakta forklifts doffs physiognomically ingroups overlapping gouger mincer midchannel assassinates flexion decasyllabic rearrests trimness cognacs limburger defecting researching histamines multivalence nephrectomy warrantors effusing pedagogically panhandler industrialized beeswax pinions cheeses effervescent discombobulated frivolously oater untangles mistletoes illuminance finials globetrotter morbidity daybook liegemen propositional dithers cosmochemical iceless renouncer lasting systematize lapidaries feoff misapplier gentrification shavians mistreating mycotoxic cowpats fumes unstrap discomfiting greening bunged shatteringly divots teaches implausibility metaphysicians stolider vowelize packhorse headmen tracheids floodplain odorants searer randiest stringier tubbing crippler overmagnifies volunteers deactivators unframed lamasery outmarching grounders electronics isomerous towboats aeronautical biocycles separatists lurer approached foreskin facilitation smartened sootiest homosexuality clandestineness reaccrediting bolls effeminacy bedumbs braininess indianan gasbag valence espial courses transfixt nonpaying falsifiability walkers vesuvians potholes crenels ascribing neckbands effacing glumly yodeled backups coarsened unkind chiropraxis baster theocrat venerably sicking kerplunk cosiness sideswipe maidenhood imitatively civility niftiest doubters garbanzos stereotape fireplaces growers stoics activates bootlicking spoor remarrying voiders iconoclasts traceries drats","6",Null,Null,Null
